1 34 1297
2 73 4906
3 70 9298
4 19 9735
5 8 6413
6 4 1396
7 56 8195
8 4 4378
9 55 6674
10 77 8461
11 54 4246
12 78 6180
13 93 4732
14 95 9053
15 85 3904
16 85 8440
17 51 6353
18 20 2050
19 23 5302
20 66 5665
21 72 8576
22 33 4583
23 70 6531
24 2 6650
25 79 6092
26 81 9486
27 68 8959
28 30 6564
29 97 9682
30 83 1835
31 43 8262
32 24 9302
33 69 2573
34 32 7261
35 28 2421
36 99 1659
37 73 2471
38 96 8512
39 88 3809
40 78 2253
41 21 5568
42 35 5141
43 60 2916
44 52 3499
45 89 7018
46 29 3542
47 75 1803
48 66 6788
49 47 5684
50 55 5274
51 59 9711
52 46 8508
53 56 1056
54 23 3742
55 42 4757
56 70 3468
57 76 4695
58 50 8612
59 24 9872
60 58 1129
61 85 7091
62 90 4361
63 64 2781
64 36 5625
65 68 6617
66 97 7517
67 97 5387
68 64 9902
69 67 1020
70 49 9017
71 66 8900
72 28 4827
73 42 9002
74 38 2107
75 9 3649
76 43 1025
77 54 9627
78 38 2198
79 77 2342
80 8 3112
81 80 7920
82 24 3580
83 80 4219
84 94 6435
85 84 2390
86 69 1945
87 36 1298
88 91 8846
89 79 7739
90 90 3666
91 91 5692
92 43 7839
93 87 3413
94 85 1156
95 39 3355
96 33 1146
97 51 5581
98 24 1211
99 77 7302
100 17 6436
101 52 7932
102 41 2156
103 45 1662
104 14 5804
105 7 7382
106 64 8857
107 32 2525
108 50 2592
109 58 1963
110 18 3946
111 32 1181
112 30 8595
113 96 1047
114 72 5717
115 100 7529
116 75 3957
117 38 7779
118 82 5544
119 6 9157
120 40 1388
121 55 3367
122 84 3195
123 79 1960
124 78 8441
125 80 8202
126 83 4955
127 90 9972
128 19 4511
129 13 8757
130 41 3680
131 72 5445
132 46 7813
133 59 4018
134 53 9636
135 13 4167
136 58 3629
137 53 5590
138 61 2403
139 33 4855
140 71 8453
141 17 9088
142 53 9503
143 84 4676
144 49 4508
145 36 5474
146 84 3622
147 78 8373
148 100 9109
149 47 4549
150 9 6706
151 27 3095
152 97 2204
153 36 5383
154 40 2718
155 84 4484
156 48 1996
157 76 2029
158 92 8838
159 32 8217
160 28 6044
161 71 4190
162 100 6418
163 87 9748
164 63 3627
165 1 1945
166 14 2399
167 88 5786
168 88 9701
169 26 4995
170 7 5998
171 58 7944
172 40 4988
173 90 5224
174 53 1602
175 53 9067
176 59 8510
177 82 4821
178 30 1575
179 39 3100
180 90 5925
181 27 5303
182 24 7547
183 61 5441
184 89 4611
185 73 8280
186 30 5476
187 82 4079
188 41 7156
189 48 1384
190 86 4031
191 6 8066
192 95 1032
193 87 7702
194 1 1725
195 89 6636
196 79 9584
197 62 1355
198 84 4863
199 76 3023
200 42 4011
201 51 9343
202 52 5706
203 84 9747
204 63 4643
205 28 7180
206 83 8609
207 13 2126
208 81 6982
209 76 9990
210 11 4244
211 12 8377
212 77 4634
213 53 6898
214 36 6424
215 97 7290
216 67 9579
217 90 7865
218 39 5054
219 55 6401
220 84 7941
221 5 4996
222 72 9791
223 15 3528
224 26 4879
225 18 5209
226 9 9702
227 81 5845
228 15 3786
229 71 2188
230 59 5264
231 73 1647
232 18 1474
233 51 6480
234 85 5944
235 96 4634
236 75 2031
237 90 8907
238 99 7283
239 63 3943
240 60 4002
241 84 9141
242 26 2347
243 12 7743
244 43 4144
245 87 7812
246 58 8884
247 81 6866
248 74 7965
249 77 1380
250 57 7685
251 13 6609
252 93 8799
253 23 5873
254 18 4014
255 55 3123
256 62 7003
257 89 8882
258 12 7551
259 27 3725
260 85 4479
261 13 1592
262 59 9882
263 1 8786
264 83 7680
265 23 5159
266 65 6867
267 22 8357
268 75 8972
269 21 9190
270 7 5877
271 52 3306
272 100 4739
273 47 3724
274 71 3690
275 9 8571
276 22 5943
277 7 1873
278 36 3146
279 10 6498
280 37 8826
281 42 1292
282 23 5230
283 39 5371
284 50 4944
285 82 1285
286 75 3324
287 9 6593
288 88 9650
289 42 1243
290 31 8259
291 50 1481
292 18 8232
293 47 7914
294 14 1554
295 23 3974
296 31 1973
297 75 8862
298 16 3487
299 91 9716
300 49 4757
301 96 2030
302 32 9440
303 55 7095
304 51 7723
305 42 4663
306 1 2621
307 21 8360
308 65 9851
309 83 1295
310 21 9011
311 8 2942
312 51 6888
313 69 2526
314 6 7816
315 5 9317
316 39 1673
317 93 5569
318 23 4952
319 3 9543
320 93 2030
321 4 8158
322 54 8234
323 65 3806
324 47 8312
325 9 2207
326 26 4239
327 2 5216
328 72 7607
329 90 6920
330 54 8456
331 38 4661
332 7 4032
333 54 9231
334 27 6976
335 50 7919
336 24 6655
337 16 2043
338 90 8931
